,name,address
0,Calgary Fire Hall Headquarters,1212 42 AV SE
76,Whitehorn Multi-Service Centre,3705 35 ST NE
148,Southland Leisure Centre,2000 SOUTHLAND DR SW
153,Hillhurst Sunnyside Community Association,1320 5 AV NW
793,Glenmore Water Treatment Plant,1634 56 AV SW
950,City of Calgary North Corporate Warehouse,2340 22 ST NE
983,Richmond - Knob Hill Community Hall,2433 26 AV SW
1753,Bearspaw Water Treatment Plant,11444 Bearspaw Dam RD NW
1776,CFD Firehall #7,2708 4 ST NW
2272,Manchester Building M,651M 25 AV SE
28955,Telus Spark,220 ST GEORGES DR NE
